# T-0103 段 2/3/4 · mesh 0x19258（白晕/黑幕共用同一个 handle）的逐帧 α —— 证明淡入淡出在模型上是**逐帧平滑**的

来源：record 轨迹 `.tmp/flash/t0103-switch.jsonl.gz`（scenario `tools/scenarios/t0103-save78.json`：载入槽 078 → 点一下推进 → 录到切章结束）。
只列 **α 变化点**（同值连续帧折叠）；rgb 一列用来区分「白晕」(ffffff) 与「黑幕」(000000)。

| 帧 | 引擎时钟 ms | α | rgb |
| 4101 | 58705 | 23 | 000000 |
| 4102 | 58713 | 22 | 000000 |
| 4103 | 58757 | 17 | 000000 |
| 4105 | 58771 | 16 | 000000 |
| 4106 | 58780 | 15 | 000000 |
| 4107 | 58788 | 14 | 000000 |
| 4108 | 58796 | 13 | 000000 |
| 4109 | 58805 | 12 | 000000 |
| 4110 | 58813 | 11 | 000000 |
| 4112 | 58835 | 9 | 000000 |
| 4114 | 58847 | 8 | 000000 |
| 4115 | 58855 | 7 | 000000 |
| 4116 | 58863 | 6 | 000000 |
| 4117 | 58872 | 5 | 000000 |
| 4118 | 58880 | 4 | 000000 |
| 4120 | 58897 | 3 | 000000 |
| 4121 | 58905 | 2 | 000000 |
| 4122 | 58913 | 1 | 000000 |
| 4123 | 58921 | 0 | 000000 |
